,Date,Text,Compound,Positive,Negative,Neutral
0,2022-05-24,"Chinas central bank urged the nations lenders to step up support for the real economy and meet credit demand, as the worlds second largest economy faces increased downward pressure.In a meeting with … [+1330 chars]",0.7096,0.185,0.038,0.777
1,2022-05-24,"U.S. stocks were mostly lower Tuesday after social media giant Snap Inc. (SNAP) logged its biggest one-day drop on record and dragged down shares of technology peers.
The Nasdaq Composite tumbled 2.… [+7618 chars]",-0.3182,0.058,0.146,0.796
2,2022-05-24,"SEOUL Samsung Group said Tuesday that it would invest about $356 billion over the next five years in its semiconductor and biopharmaceuticals businesses, as well as other next-generation technologies… [+1453 chars]",0.2732,0.065,0.0,0.935
3,2022-05-24,"The inventory shortage, high prices and rising interest rates have finally bitten.That was the slowest rate of sales since April 2020 following business closures in the wake of the earliest days of t… [+1928 chars]",0.25,0.079,0.053,0.868
4,2022-05-24,"Wednesday will mark the 100th trading day of 2022, a year that will likely be remembered for its historic market turbulence as the megacap tech stocks that had dominated the market for so long collap… [+4070 chars]",0.0,0.0,0.0,1.0
5,2022-05-24,"Global stocks fell Tuesday, with US futures setting up a retreat from the previous day's sizzling rally, as investors continued to fret about an economic slowdown.
Meanwhile, the euro rebounded agai… [+2838 chars]",0.2023,0.053,0.0,0.947
6,2022-05-25,"The Federal Trade Commission said Wednesday that Twitter Inc. must pay a $150 million penalty for deceptively using account security data for targeted advertising.
Twitter 
 TWTR,
 +3.91%
asked u… [+1093 chars]",-0.25,0.069,0.126,0.805
7,2022-05-25,"Williams-Sonoma Inc. 
 WSM,
 +9.02%
on Wednesday reported better-than-expected first-quarter earnings on higher sales at its Pottery Barn and West Elm stores and improved margins.
The San Francis… [+700 chars]",0.4767,0.1,0.0,0.9
8,2022-05-25,"WELLINGTON, New Zealand The Reserve Bank of New Zealand raised its benchmark interest rate by 50 basis points for a second consecutive meeting and forecast a higher peak for interest rates as central… [+1346 chars]",0.7184,0.154,0.0,0.846
9,2022-05-25,"SINGAPORE Singapores economy expanded at a faster pace in the first quarter of 2022 than previously estimated, mainly due to solid growth in the manufacturing, construction and services-producing ind… [+1356 chars]",0.4939,0.127,0.0,0.873
10,2022-05-26,"Baidu Inc. swung to a loss in the first quarter, as fair-value losses on investments offset a rise in revenue.
The Chinese search engine giant on Thursday posted a net loss of 885 million yuan ($132… [+1039 chars]",-0.743,0.0,0.173,0.827
11,2022-05-26,"SHANGHAI, May 26 (Reuters) - Asian share markets slipped on Thursday after minutes from the Federal Reserve's early May meeting showed a majority backing half-percentage-point rate hikes in June and … [+3789 chars]",0.3182,0.096,0.0,0.904
12,2022-05-26,"By Kathryn Hardison
Ulta Beauty Inc. raised its full-year sales and earnings guidance Thursday following better-than-expected first-quarter results that reflected strong demand for beauty products.… [+780 chars]",0.886,0.299,0.041,0.659
13,2022-05-26,Chinese telecom-equipment makers including ZTE Corp. jumped on Thursday after a top Beijing official said the country should accelerate the construction of digital infrastructure.ZTEs Hong Kong-trade… [+731 chars],0.2023,0.062,0.0,0.938
14,2022-05-26,"US stocks soared higher on Thursday, extending gains from Wednesday's relief rally as investors seek to end a seven-week losing streak in the S&amp;P 500 and an eight-week losing streak in the Dow Jo… [+2375 chars]",0.0772,0.129,0.122,0.749
15,2022-05-26,"Shares of Aurora Cannabis Inc. were lower in Thursdays late trading session, after the company announced $125 million of bought-deal financing.
Under the terms of the deal, a group of underwriters l… [+456 chars]",0.0,0.06,0.06,0.879
16,2022-05-26,"Shares of 23andMe Holding Co. 
 ME,
fell almost 7% in after-hours trading after the genetic-testing company saw its loss widen for the fiscal fourth quarter, and issued guidance that assumes the lo… [+1609 chars]",-0.0258,0.06,0.063,0.877
17,2022-05-26,"Global stocks flatlined on Thursday, showing some stability after the minutes of the Federal Reserve's most recent meeting confirmed the market's view that bigger rate rises are coming in order to co… [+2937 chars]",0.0,0.0,0.0,1.0
18,2022-05-27,Chinese search-engine giant Baidu Inc.s shares rose in early Asian trade on Friday after its first-quarter results beat expectations and as several analysts raised their stock-price targets.Baidus Ho… [+1720 chars],0.296,0.071,0.0,0.929
