,Unnamed: 0,Text,Compound,Positive,Negative,Neutral,Open,High,Low,Close,Adj Close,Volume
0,0.0,"Don't miss CoinDesk's Consensus 2022, the must-attend crypto &amp; blockchain festival experience of the year in Austin, TX this June 9-12.
Good morning. Heres whats happening:
Prices: Cryptos clim… [+9525 chars]",0.8682,0.285,0.0,0.715,,,,,,
1,1.0,"Good morning. Heres whats happening:
Prices: Cryptos climbed late in the date, but not enough to dispel the prolonged bearish sentiment.
Insights: Indian crypto investors receive some upbeat news.… [+9225 chars]",0.2382,0.059,0.0,0.941,,,,,,
2,2.0,"Shares of Caterpillar Inc. 
 CAT,
 +0.80%
rallied 1.1% in morning trading Friday to buck the selloff in the broader stock market, and enough to pace the Dow Jones Industrial Average's 
 DJIA,
 -… [+886 chars]",0.296,0.062,0.0,0.937,,,,,,
3,3.0,"The U.S. is forecast to add 328,000 new jobs in May, down from 428,000 in the prior month, according to economists polled by The Wall Street Journal. The unemployment rate is expected to slip to 3.5%… [+332 chars]",-0.4404,0.0,0.073,0.927,,,,,,
4,4.0,"Stocks closed lower on Friday to end the week in the red, after a strong May jobs report rattled investors already nervous about the Federal Reserve's planned pace of aggressive interest rate hikes. … [+526 chars]",0.34,0.146,0.137,0.718,,,,,,
5,5.0,"Companies with big dreams and sometimes life-changing ideas, speculative young companies going public, and an industry weighing on the S&amp;P 500 index: It was a recipe for a big run-up and a big fa… [+8044 chars]",0.4767,0.108,0.0,0.892,,,,,,
6,6.0,"Major stock indexes finished with modest gains on Monday as Treasury yields marched higher ahead of an update on inflation due Friday. The Dow Jones Industrial Average 
 DJIA,
 +0.05%
edged about … [+614 chars]",0.4939,0.116,0.0,0.884,,,,,,
7,7.0,"Shares of International Business Machines Corp. 
 IBM,
 +1.20%
rallied 1.20% to $142.88 Monday, on what proved to be an all-around favorable trading session for the stock market, with the S&amp;P … [+851 chars]",0.6486,0.146,0.0,0.854,,,,,,
8,8.0,"U.S. stock futures rose on Monday, gaining ground after falling for eight of the last nine weeks.
Whats happening
<ul><li> 
 Futures on the Dow Jones Industrial Average 
 YM00,
 +0.81%
rose 273… [+1793 chars]",0.296,0.079,0.045,0.876,,,,,,
9,9.0,"Stock-market investors seem to get jittery when the 10-year Treasury yield is trading above 3%. A look at corporate and government debt levels explains why, according to one closely followed analyst.… [+3082 chars]",-0.1779,0.051,0.071,0.878,,,,,,
10,10.0,"Good morning. Heres whats happening:
Prices: A late surge carried bitcoin past $31,000, where it started the week.
Insights: A Citi report calculates the potential value of the metaverse at $13 tri… [+10402 chars]",0.6486,0.142,0.0,0.858,,,,,,
11,11.0,"Major U.S. stock indexes booked back-to-back gains on Tuesday, erasing earlier weakness after big-box retailer Target Corp. lowered its operating-margin guidance. The Dow Jones Industrial Average 
 … [+634 chars]",-0.2263,0.073,0.131,0.795,,,,,,
12,12.0,"The double whammy of surging mortgage rates and skyrocketing home prices has led to collapsed housing affordability in America, according to Chris Flanagans team at BofA Global Research.The situation… [+2761 chars]",-0.2732,0.0,0.065,0.935,,,,,,
13,13.0,"Good morning. Heres whats happening:
Prices: Bitcoin and other major cryptos rise.
Insights: Hong Kong is hardly laissez-faire when it comes to crypto.
Technician's take: BTC's current price range… [+10895 chars]",0.4404,0.088,0.0,0.912,,,,,,
14,14.0,"The numbers: The nations trade deficit shrank 19% in April to $87.1 billion as exports rebounded and imports fell, but the U.S. is still on track to post another record trade gap in 2022. 
The defic… [+419 chars]",-0.2144,0.0,0.048,0.952,,,,,,
15,15.0,"Shares of Caterpillar Inc. 
 CAT,
 +1.30%
rose 1.2% in morning trading Wednesday, to pace the Dow Jones Industrial Average's 
 DJIA,
 -0.42%
gainers, after the maker of construction and mining … [+772 chars]",0.296,0.066,0.0,0.934,,,,,,
16,16.0,"This years stock market isnt what it seems.It wasnt supposed to be this way! Thats the refrain from many investors who are looking at a U.S. stock market 
 SPX,
 +0.95%
decline so far this year of… [+6362 chars]",0.0,0.0,0.0,1.0,,,,,,
17,17.0,"Thats Jeremy Weir, who heads up Trafigura, one of the worlds largest commodity traders, sounding the alarm bell at the FT Global Boardroom conference on Tuesday, according to the Financial Times. Hes… [+2042 chars]",-0.34,0.0,0.068,0.932,,,,,,
18,18.0,"Good morning. Heres whats happening:
Prices: Bitcoin and most major altcoins spent much of Wednesday in the red.
Insights: South Korean exchanges are delisting litecoin.
Technician's take (Editor'… [+8468 chars]",0.4404,0.091,0.0,0.909,,,,,,
19,19.0,Gold prices edged lower on Thursday following back-to-back gains as traders await U.S. May inflation data due out Friday. The European Central Banks announcement that it would begin raising interest … [+2265 chars],0.5574,0.179,0.058,0.763,,,,,,
20,20.0,"With both stocks and bonds struggling in 2022, the Federal Reserve is the markets biggest risk as it tries to fight inflation with mighty tools that are lacking in subtlety, according to a midyear ou… [+5924 chars]",-0.7579,0.0,0.181,0.819,,,,,,
21,21.0,The 136-year history of the Dow Jones Industrial Average shows that an investor could do quite well for himself just buying the 30 component stocks and hanging on. Even as companies have come and gon… [+5229 chars],0.3384,0.062,0.0,0.938,,,,,,
22,22.0,"Stock-market investors crowded the exits on Thursday, sending major stock indexes sharply lower a day ahead of another eagerly anticipated consumer-price index reading. Recent history may offer a clu… [+1859 chars]",0.1027,0.077,0.065,0.858,,,,,,
23,23.0,"The numbers: New filings for unemployment benefits jumped by 27,000 last week to five-month high of 229,000, but almost the entire increase appeared to stem from seasonal quirks instead of rising lay… [+1873 chars]",0.3409,0.117,0.052,0.831,,,,,,
24,24.0,"Five dollar gas is here, get used to it.Thats according to GasBuddy, an aggregator of pump prices, which said the national average on Thursday reached the $5/gallon price point.Its been one kink afte… [+2936 chars]",0.1027,0.04,0.0,0.96,,,,,,
25,25.0,"Range-bound U.S. stocks may be set for a positive day, as U.S. stock index futures advanced in early action.
Whats happening
<ul><li> 
 Futures on the Dow Jones Industrial Average 
 YM00,
 +0.27… [+1808 chars]",0.6808,0.153,0.0,0.847,,,,,,
26,26.0,"This story is part of So Money (subscribe here), an online community dedicated to financial empowerment and advice, led by CNET Editor at Large and So Money podcast host Farnoosh Torabi. 
Economic h… [+8694 chars]",0.4588,0.081,0.0,0.919,,,,,,
27,27.0,"Investors might be about to find out what happens after a Golden Age of consumer credit.Following a period of explosive growth in consumer credit, the nearly $1.6 trillion U.S. bond market tied to ca… [+2948 chars]",0.6369,0.133,0.0,0.867,,,,,,
28,28.0,"Major U.S. stock indexes finished sharply lower Friday, after a May reading of inflation showed no signs of a slowdown in high costs of living. The Dow Jones Industrial Average 
 DJIA,
 -2.73%
tum… [+836 chars]",-0.5267,0.0,0.118,0.882,,,,,,
29,29.0,"Recessionary concerns and the Fed's hawkish policy measures to combat high inflation are expected to extend the market correction. However, certain Dow Jones constituents with solid financials and br… [+6582 chars]",0.25,0.155,0.069,0.776,,,,,,
30,30.0,"Companies that generate stable cash flows, have strong balance sheets, are industry leaders, and have been around for decades tend to be the kinds of businesses that investors can count on to outlast… [+3562 chars]",0.6705,0.143,0.0,0.857,,,,,,
31,31.0,"All 30 Dow Jones Industrial Average 
 DJIA,
 -2.73%
component stocks are falling in Monday's premarket, with Dow futuresYM00,
 -1.83%
pointing toward a third-straight decline of more than 500 po… [+681 chars]",-0.1531,0.0,0.051,0.949,,,,,,
32,32.0,"Shares of International Business Machines Corp. 
 IBM,
 -0.79%
slipped 0.79% to $135.11 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&amp;P 500… [+816 chars]",-0.4215,0.059,0.108,0.833,,,,,,
33,33.0,"U.S. stock futures looked set to break below the lows of May, as financial markets continue to reel from a surprise acceleration in inflation just days ahead of a Federal Reserve interest-rate decisi… [+1945 chars]",0.0772,0.057,0.049,0.894,,,,,,
34,34.0,"The Dow Jones Transportation Average 
 DJT,
 +2.52%
powered up Tuesday, driven FedEx Corp.'s 
 FDX,
 +12.20%
best one-day stock performance in three decades, even as the broader stock market tu… [+791 chars]",0.6369,0.123,0.0,0.877,,,,,,
35,35.0,"Stocks finished mostly lower on Tuesday, with both the Dow and S&amp;P 500 booking a fifth straight day of declines, a day before the Federal Reserve is expected to raise rates by 75 basis points. Th… [+405 chars]",-0.0772,0.047,0.055,0.898,,,,,,
36,36.0,"The housing market may be slowing down, but owning a home is still a costly proposition. Two charts reveal exactly how expensive it is.Just over a year ago, the monthly cost of owning and renting wer… [+2841 chars]",-0.1531,0.0,0.041,0.959,,,,,,
37,37.0,"U.S. stocks were up modestly Tuesday, bouncing after the previous session's rout sent the S&amp;P 500 into a bear market. Investors were looking ahead to the conclusion Wednesday of a two-day Federal… [+370 chars]",0.0,0.0,0.0,1.0,,,,,,
38,38.0,"White House press secretary Karine Jean-Pierre played defense on Tuesday, as reporters peppered her with questions about the U.S. stock markets latest drops.We are closely watching. We know that fami… [+3328 chars]",0.4404,0.115,0.0,0.885,,,,,,
39,39.0,"Financial markets suffered an absolute bloodbath in the days leading up to Wednesdays Federal Reserve decision, with stocks plunging and bond yields soaring in the wake of surprisingly hot inflation … [+4729 chars]",-0.25,0.06,0.088,0.852,,,,,,
